,Date,Tweet,class
0,2022-12-31 23:59:51+00:00,So reuniting with an Ex was special and Im sure he deserves happiness and positive conversation and I’m sad I wasn’t confident and sad that I get punished and different now which I wish wasn’t a condition to explain sometimes life’s to hard to have a life so I accept that #happy,0
1,2022-12-31 23:59:11+00:00,#Happy #New #Year!!! Hope you all are having an amazing evening. Love to all from C4!,1
2,2022-12-31 23:53:18+00:00,@TeamSMATh #happy new year 2023 SMATH,1
3,2022-12-31 23:52:30+00:00,"A fresh start this new year will bring.
An opportunity to do the things
Perhaps you have put off your dreams
But now is a time for them to be realized.
#Happy New Year to You All.",1
4,2022-12-31 23:45:50+00:00,"Sometimes it feels life is unfair, sometimes it seems our plan and life progress ain't as it should be. Remember that as long as you are alive, you can still experience breakthroughs...See life through the lens of gratitude #Happy New Year🎊💝",1
5,2022-12-31 23:43:52+00:00,#happy  New Year! The start of a new year is often seen as a time for new beginnings and the opportunity to make positive changes in our lives. It can be a good time to reflect on the past year and think about what you would like to achieve in the coming year. #HappyNewYear2023,1
6,2022-12-31 23:42:37+00:00,"Do you think of me sometimes?
Or is it too faint now?
The meaning itself is awkward
#HAPPY",2
7,2022-12-31 23:24:50+00:00,#Happy #NewYear you dirty animals.,0
9,2022-12-31 23:17:23+00:00,Happy new year #HappyNewYear2023 #happy new testimony to me and my household,1
10,2022-12-31 23:16:04+00:00,Is 9t even new year if you don't watch dinner for one #dinnerforone #happy #happynewyears #dinner #food #booze #sherry #schkull #skul #skull #HappyNewYear2023 #2023NewYear,2
11,2022-12-31 23:16:02+00:00,"#Happy new year Twitter 🎉
#2023NewYear",1
12,2022-12-31 23:15:56+00:00,"#Happy New year 
More memories 
Less regrets",1
13,2022-12-31 23:15:12+00:00,#Happy new year 🎊 2023,1
14,2022-12-31 23:15:05+00:00,@y00tsHappyDAO @y00tsNFT @DeCustoms Thank you 🤝 #happy,1
15,2022-12-31 23:13:44+00:00,"Every item of your new way of life is custom-made by the Creator, with his label on it. All the old fashions are now obsolete.
#Ni God
#God's Word
#Heavenly Father
#Thank You Jesus
#Happy New Year 2023",2
16,2022-12-31 23:13:44+00:00,"Colossians 3:9-11 MSG
You're done with that old life. It's like a filthy set of ill-fitting clothes you've stripped off and put in the fire. Now you're dressed in a new wardrobe.
#Ni God
#God's Word
#Heavenly Father
#Thank You Jesus
#Happy New Year 2023",2
